first_name,last_name,team_name,position,min,fg,3pt,ft,off,def,reb,ast,to,stl,blk,pf,pts
Jasteven,Walker,Alabama St,F,23,2-3,0-0,2-2,0,2,2,1,1,1,1,4,6
D'Ante,Bass,Alabama St,F,23,0-1,0-1,2-2,1,8,9,2,1,2,1,3,2
Kevin,Alabi,Alabama St,F,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Jerquarius,Stanback,Alabama St,F,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Ubong,Okon,Alabama St,C,17,1-1,0-0,0-1,1,3,4,0,1,1,1,5,2
Mario,Andrews,Alabama St,C,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Amarr,Knox,Alabama St,G,33,8-18,2-6,0-2,0,4,4,0,1,2,0,1,18
CJ,Hines,Alabama St,G,29,3-15,1-8,2-4,0,3,3,1,2,1,0,3,9
TJ,Madlock,Alabama St,G,28,4-10,0-1,3-6,2,2,4,0,0,2,0,4,11
Micah,Octave,Alabama St,G,17,2-3,1-2,0-0,2,3,5,1,1,1,0,5,5
Tyler,Mack,Alabama St,G,12,0-4,0-4,0-0,0,1,1,1,1,0,0,1,0
Shawn,Fulcher,Alabama St,G,9,3-6,2-3,0-0,0,0,0,0,1,0,0,1,8
Micah,Simpson,Alabama St,G,8,0-1,0-0,2-2,0,1,1,0,0,0,0,0,2
Marshall,Jordon,Alabama St,G,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Jalen,Keago,Alabama St,G,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Chaney,Johnson,Auburn,F,28,5-9,0-1,3-4,2,5,7,1,3,0,0,3,13
Ja'Heim,Hudson,Auburn,F,4,0-1,0-0,0-0,1,0,1,0,0,0,0,0,0
Chris,Moore,Auburn,F,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Jahki,Howard,Auburn,F,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Addarin,Scott,Auburn,F,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Dylan,Cardwell,Auburn,C,20,1-1,0-0,1-4,4,4,8,0,0,1,1,3,3
Denver,Jones,Auburn,G,31,2-6,1-5,3-5,3,1,4,6,0,0,0,1,8
Miles,Kelly,Auburn,G,29,8-16,7-15,0-0,0,3,3,0,1,0,1,3,23
Tahaad,Pettiford,Auburn,G,28,5-9,2-6,4-5,0,5,5,5,3,0,0,2,16
Blake,Muschalek,Auburn,G,2,0-0,0-0,1-2,0,1,1,0,0,0,0,0,1
Drake,Cardwell,Auburn,G,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Presley,Patterson,Auburn,G,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
JP,Pegues,Auburn,G,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Joah,Shay,Auburn,G,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Reed,Trapp,Auburn,G,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
CJ,Williams,Auburn,G,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Johni,Broome,Auburn,F-C,27,5-9,0-3,4-9,2,9,11,1,3,0,0,3,14
Chad,Baker-Mazara,Auburn,G-F,24,1-9,1-5,2-3,1,1,2,3,2,1,1,2,5